STHM Meter Reading
From unit,40377411,12/14/2021 11:18:24 AM
Historical Data
Historical Data set:,1

Cumulative totals

,Value,Unit
,0,Import Wh
,0,Export Wh
,0,Q1 varh
,0,Q2 varh
,0,Q3 varh
,0,Q4 varh
,0,VAh
,0,CD1
,0,CD2
,0,CD3
Rates

Register,Value,Unit
1,0,Import Wh
2,0,Import Wh
3,0,Import Wh
4,0,Export Wh
5,0,Export Wh
6,0,Export Wh
7,0,no Source
8,0,no Source
9,0,no Source
10,0,no Source
11,0,no Source
12,0,no Source
13,0,no Source
14,0,no Source
15,0,no Source
16,0,no Source
Multi-utility registers

,Value,Unit
,0,MU 1
,0,MU 2
,0,MU 3
,0,MU 4
Cummulative Maximum demands

Register,Value,Unit
1,0,Import W
2,0,Import W
3,0,Import W
4,0,Import W
5,0,Export W
6,0,Export W
7,0,Export W
8,0,Export W
Billing event details

Billing reset number:,6
Time of billing reset:,12/01/2021 12:00:00 AM
Billing period start date,11/01/2021 12:00:00 AM
Billing period end date,12/01/2021 12:00:00 AM
Historical Data set:,2

Cumulative totals

,Value,Unit
,0,Import Wh
,0,Export Wh
,0,Q1 varh
,0,Q2 varh
,0,Q3 varh
,0,Q4 varh
,0,VAh
,0,CD1
,0,CD2
,0,CD3
Rates

Register,Value,Unit
1,0,Import Wh
2,0,Import Wh
3,0,Import Wh
4,0,Export Wh
5,0,Export Wh
6,0,Export Wh
7,0,no Source
8,0,no Source
9,0,no Source
10,0,no Source
11,0,no Source
12,0,no Source
13,0,no Source
14,0,no Source
15,0,no Source
16,0,no Source
Multi-utility registers

,Value,Unit
,0,MU 1
,0,MU 2
,0,MU 3
,0,MU 4
Cummulative Maximum demands

Register,Value,Unit
1,0,Import W
2,0,Import W
3,0,Import W
4,0,Import W
5,0,Export W
6,0,Export W
7,0,Export W
8,0,Export W
Billing event details

Billing reset number:,5
Time of billing reset:,11/01/2021 12:00:00 AM
Billing period start date,10/01/2021 12:00:00 AM
Billing period end date,11/01/2021 12:00:00 AM
